Day-Month,Hour,Average Day-ahead Price (EUR/MWh)
05-01,13,42.29666666666666
05-01,14,-4.856666666666665
05-01,15,-9.866666666666665
05-01,16,29.363333333333333
05-01,17,67.78333333333333
05-01,18,93.12666666666667
05-01,19,129.90333333333334
05-01,20,159.51333333333335
05-01,21,171.15333333333334
05-01,22,154.91666666666666
05-01,23,146.24
05-01,24,134.33666666666667
05-02,1,121.98
05-02,2,112.19
05-02,3,105.99666666666667
05-02,4,104.68666666666667
05-02,5,103.95333333333333
05-02,6,112.71666666666665
05-02,7,142.97333333333333
05-02,8,159.14000000000001
05-02,9,161.24
05-02,10,131.14
05-02,11,99.99333333333334
05-02,12,92.97666666666667
05-02,13,89.42333333333333
05-02,14,87.71666666666665
05-02,15,91.29
05-02,16,89.00333333333333
05-02,17,93.63
05-02,18,127.71666666666665
05-02,19,145.44333333333333
05-02,20,159.79999999999998
05-02,21,176.09
05-02,22,161.07000000000002
05-02,23,151.37666666666667
05-02,24,141.35
05-03,1,129.04999999999998
05-03,2,122.88666666666666
05-03,3,121.68333333333334
05-03,4,120.30666666666667
05-03,5,117.46999999999998
05-03,6,122.75999999999999
05-03,7,145.47666666666666
05-03,8,156.93666666666667
05-03,9,157.79
05-03,10,147.6
05-03,11,123.72666666666667
05-03,12,117.84333333333332
05-03,13,111.40333333333332
05-03,14,96.64333333333333
05-03,15,92.08
05-03,16,102.08666666666666
05-03,17,114.43
05-03,18,128.57666666666668
05-03,19,145.10333333333332
05-03,20,163.34666666666666
05-03,21,175.99333333333334
05-03,22,165.31333333333333
05-03,23,153.38
05-03,24,137.81666666666666
05-04,1,131.11666666666667
05-04,2,125.81
05-04,3,124.64
05-04,4,125.31333333333333
05-04,5,126.19999999999999
05-04,6,140.19333333333333
05-04,7,150.69333333333333
05-04,8,170.1833333333333
05-04,9,158.6866666666667
05-04,10,140.61333333333334
05-04,11,117.19333333333333
05-04,12,100.89333333333333
05-04,13,94.77999999999999
05-04,14,87.46
05-04,15,86.36
05-04,16,94.43333333333334
05-04,17,115.53000000000002
05-04,18,134.32666666666668
05-04,19,152.88
05-04,20,170.71
05-04,21,177.95666666666668
05-04,22,161.46666666666667
05-04,23,148.42666666666668
05-04,24,138.15
05-05,1,138.18666666666667
05-05,2,127.90333333333332
05-05,3,125.71666666666665
05-05,4,124.42333333333333
05-05,5,122.83
05-05,6,131.26333333333335
05-05,7,145.49
05-05,8,154.3033333333333
05-05,9,142.30666666666664
05-05,10,123.32333333333334
05-05,11,109.31666666666666
05-05,12,101.41000000000001
05-05,13,98.67
05-05,14,97.45333333333333
05-05,15,96.27666666666666
05-05,16,93.62666666666667
05-05,17,99.27666666666666
05-05,18,120.29
05-05,19,149.50666666666666
05-05,20,161.93333333333334
05-05,21,175.5
05-05,22,167.25666666666666
05-05,23,157.96666666666667
05-05,24,152.02333333333334
05-06,1,136.75333333333333
05-06,2,132.02
05-06,3,129.15
05-06,4,126.39666666666666
05-06,5,126.31
05-06,6,132.76
05-06,7,155.41
05-06,8,168.67666666666668
05-06,9,153.21333333333334
05-06,10,139.75666666666666
05-06,11,127.84333333333332
05-06,12,118.19
05-06,13,115.42333333333333
05-06,14,106.76333333333334
05-06,15,105.60333333333334
05-06,16,111.64999999999999
05-06,17,115.88999999999999
05-06,18,133.29666666666665
05-06,19,151.99666666666667
05-06,20,167.33666666666667
05-06,21,172.0
05-06,22,157.98666666666665
05-06,23,148.49333333333334
05-06,24,137.42
05-07,1,143.52
05-07,2,136.10333333333332
05-07,3,130.76000000000002
05-07,4,122.58
05-07,5,122.30666666666667
05-07,6,122.46333333333332
05-07,7,129.29
05-07,8,139.53
05-07,9,136.66333333333333
05-07,10,126.38
05-07,11,115.08
05-07,12,106.80666666666666
05-07,13,98.57000000000001
05-07,14,93.70666666666666
05-07,15,86.52999999999999
05-07,16,82.66
05-07,17,101.39666666666666
05-07,18,117.19000000000001
05-07,19,133.48666666666665
05-07,20,155.76333333333335
05-07,21,159.89333333333332
05-07,22,157.01333333333335
05-07,23,149.60333333333332
05-07,24,130.46333333333334
05-08,1,138.6833333333333
05-08,2,126.90333333333335
05-08,3,124.94
05-08,4,119.21333333333332
05-08,5,115.83333333333333
05-08,6,118.99000000000001
05-08,7,132.31333333333333
05-08,8,141.70000000000002
05-08,9,137.68666666666667
05-08,10,121.32
05-08,11,108.65000000000002
05-08,12,98.79
05-08,13,83.72
05-08,14,64.28333333333333
05-08,15,61.26
05-08,16,77.05
05-08,17,88.62666666666667
05-08,18,110.86333333333334
05-08,19,133.54666666666665
05-08,20,162.34333333333333
05-08,21,168.91333333333333
05-08,22,161.0
05-08,23,148.06333333333333
05-08,24,141.33
05-09,1,130.88
05-09,2,124.93
05-09,3,121.88999999999999
05-09,4,118.96333333333332
05-09,5,118.14666666666666
05-09,6,126.57666666666667
05-09,7,145.19333333333333
05-09,8,153.94333333333336
05-09,9,143.18666666666667
05-09,10,118.60333333333334
05-09,11,108.38666666666666
05-09,12,101.71666666666668
05-09,13,101.96
05-09,14,94.53666666666668
05-09,15,88.63333333333333
05-09,16,88.31666666666666
05-09,17,91.99333333333334
05-09,18,126.44333333333334
05-09,19,148.10333333333332
05-09,20,166.15666666666667
05-09,21,173.5
05-09,22,158.75666666666666
05-09,23,144.72
05-09,24,123.11666666666667
05-10,1,136.37333333333333
05-10,2,129.25333333333333
05-10,3,119.63
05-10,4,113.05666666666666
05-10,5,112.02333333333333
05-10,6,118.60333333333334
05-10,7,143.14333333333335
05-10,8,151.65333333333334
05-10,9,153.28333333333333
05-10,10,125.11666666666667
05-10,11,98.23333333333333
05-10,12,82.19666666666667
05-10,13,49.190000000000005
05-10,14,31.039999999999996
05-10,15,35.84666666666667
05-10,16,51.23
05-10,17,78.14
05-10,18,120.29666666666667
05-10,19,141.01
05-10,20,160.59333333333333
05-10,21,182.42333333333332
05-10,22,167.80666666666667
05-10,23,150.56333333333333
05-10,24,131.70333333333335
05-11,1,131.04666666666665
05-11,2,123.52666666666669
05-11,3,120.2
05-11,4,119.13
05-11,5,117.18666666666667
05-11,6,122.68
05-11,7,134.79
05-11,8,143.73
05-11,9,139.88666666666666
05-11,10,113.59000000000002
05-11,11,84.39999999999999
05-11,12,65.19666666666667
05-11,13,42.61
05-11,14,18.533333333333335
05-11,15,16.48333333333333
05-11,16,30.486666666666668
05-11,17,49.24666666666667
05-11,18,85.89333333333333
05-11,19,125.62
05-11,20,150.77333333333334
05-11,21,154.24333333333334
05-11,22,142.90333333333334
05-11,23,132.76
05-11,24,119.71999999999998
05-12,1,103.81
05-12,2,95.63999999999999
05-12,3,90.85666666666667
05-12,4,97.19333333333334
05-12,5,105.41333333333334
05-12,6,103.29333333333334
05-12,7,112.75999999999999
05-12,8,120.77
05-12,9,121.11666666666667
05-12,10,97.52999999999999
05-12,11,71.35000000000001
05-12,12,43.26666666666667
05-12,13,1.8666666666666742
05-12,14,-18.606666666666666
05-12,15,-15.403333333333336
05-12,16,14.476666666666665
05-12,17,60.61333333333334
05-12,18,91.38333333333333
05-12,19,110.49
05-12,20,139.87
05-12,21,149.21
05-12,22,136.33
05-12,23,124.08999999999999
05-12,24,111.86
05-13,1,114.00999999999999
05-13,2,109.02666666666669
05-13,3,103.22666666666667
05-13,4,98.59666666666668
05-13,5,100.00999999999999
05-13,6,114.34333333333332
05-13,7,132.91666666666666
05-13,8,144.82666666666668
05-13,9,140.31666666666666
05-13,10,119.69
05-13,11,82.0
05-13,12,33.053333333333335
05-13,13,12.976666666666667
05-13,14,-21.63
05-13,15,-13.856666666666667
05-13,16,-1.7999999999999998
05-13,17,18.55666666666667
05-13,18,71.72
05-13,19,121.43
05-13,20,161.15666666666667
05-13,21,166.35999999999999
05-13,22,147.49333333333334
05-13,23,137.35666666666665
05-13,24,118.41333333333334
05-14,1,119.22333333333334
05-14,2,115.96
05-14,3,111.50666666666666
05-14,4,125.97666666666667
05-14,5,106.14
05-14,6,113.24000000000001
05-14,7,113.69333333333333
05-14,8,113.51333333333334
05-14,9,102.25999999999999
05-14,10,73.56
05-14,11,47.52
05-14,12,23.356666666666666
05-14,13,6.566666666666667
05-14,14,-24.853333333333335
05-14,15,-18.206666666666667
05-14,16,5.276666666666666
05-14,17,33.016666666666666
05-14,18,81.26
05-14,19,124.17
