MMDD,HH,2022,2023,2024,Average
0114,14,20.0,8.0,27.0,18.333333333333332
0114,15,10.0,6.0,10.0,8.666666666666666
0114,16,3.0,1.0,1.0,1.6666666666666667
0114,17,0.0,0.0,0.0,0.0
0114,18,0.0,0.0,0.0,0.0
0114,19,0.0,0.0,0.0,0.0
0114,20,0.0,0.0,0.0,0.0
0114,21,0.0,0.0,0.0,0.0
0114,22,0.0,0.0,0.0,0.0
0114,23,0.0,0.0,0.0,0.0
0114,24,0.0,0.0,0.0,0.0
0115,1,0.0,0.0,0.0,0.0
0115,2,0.0,0.0,0.0,0.0
0115,3,0.0,0.0,0.0,0.0
0115,4,0.0,0.0,0.0,0.0
0115,5,0.0,0.0,0.0,0.0
0115,6,0.0,0.0,0.0,0.0
0115,7,0.0,0.0,0.0,0.0
0115,8,1.0,1.0,0.0,0.6666666666666666
0115,9,4.0,26.0,7.0,12.333333333333334
0115,10,11.0,38.0,19.0,22.666666666666668
0115,11,15.0,89.0,58.0,54.0
0115,12,18.0,38.0,23.0,26.333333333333332
0115,13,18.0,22.0,48.0,29.333333333333332
0115,14,16.0,27.0,36.0,26.333333333333332
0115,15,12.0,10.0,30.0,17.333333333333332
0115,16,5.0,3.0,6.0,4.666666666666667
0115,17,0.0,1.0,0.0,0.3333333333333333
0115,18,0.0,0.0,0.0,0.0
0115,19,0.0,0.0,0.0,0.0
0115,20,0.0,0.0,0.0,0.0
0115,21,0.0,0.0,0.0,0.0
0115,22,0.0,0.0,0.0,0.0
0115,23,0.0,0.0,0.0,0.0
0115,24,0.0,0.0,0.0,0.0
0116,1,0.0,0.0,0.0,0.0
0116,2,0.0,0.0,0.0,0.0
0116,3,0.0,0.0,0.0,0.0
0116,4,0.0,0.0,0.0,0.0
0116,5,0.0,0.0,0.0,0.0
0116,6,0.0,0.0,0.0,0.0
0116,7,0.0,0.0,0.0,0.0
0116,8,1.0,1.0,0.0,0.6666666666666666
0116,9,6.0,3.0,12.0,7.0
0116,10,12.0,7.0,30.0,16.333333333333332
0116,11,15.0,11.0,89.0,38.333333333333336
0116,12,18.0,19.0,110.0,49.0
0116,13,25.0,19.0,102.0,48.666666666666664
0116,14,23.0,17.0,71.0,37.0
0116,15,10.0,11.0,44.0,21.666666666666668
0116,16,4.0,3.0,5.0,4.0
0116,17,0.0,0.0,0.0,0.0
0116,18,0.0,0.0,0.0,0.0
0116,19,0.0,0.0,0.0,0.0
0116,20,0.0,0.0,0.0,0.0
0116,21,0.0,0.0,0.0,0.0
